偉
偶
歳
頂
髪
疲
到
識
吹
御
緒
逃
夫
訪
越
押
加
喜
寄
幾
球
恐
勤
迎
互
誤
更
降
刻
込
婚
差
雑
参
散
賛
似
示
除
積
絶
祖
窓
達
探
恥
遅
適
倒
盗
破
杯
背
箱
否
彼
費
非
飛
貧
付
富
怖
浮
舞
払
閉
便
暮
抱
娘
戻
遊
欲
頼
連
愛
暗
位
易
違
育
因
引
泳
園
演
煙
遠
横
王
化
科
果
過
解
回
皆
絵
害
格
確
覚
掛
割
活
寒
完
官
感
慣
観
関
顔
願
危
期
機
規
記
疑
議
客
吸
求
給
居
許
供
共
局
曲
苦
具
靴
君
係
形
景
経
警
欠
決
件
権
険
原
現
限
呼
交
候
光
向
好
幸
構
港
号
合
告
困
座
最
妻
才
済
際
在
罪
財
昨
察
殺
産
残
市
師
指
支
資
歯
次
治
耳
辞
式
失
実
若
取
守
種
酒
首
受
収
宿
術
処
初
所
助
勝
商
招
消
笑
乗
常
情
状
職
信
寝
深
申
神
進
数
制
性
成
政
晴
精
声
静
席
昔
石
責
折
説
雪
戦
洗
船
選
然
全
組
想
争
相
草
増
側
息
束
速
続
存
他
太
打
対
退
宅
単
断
段
談
値
置
調
直
追
痛
定
庭
程
点
伝
徒
渡
登
途
都
努
怒
投
当
等
頭
働
得
突
内
難
任
認
猫
熱
念
能
馬
敗
配
抜
判
反
犯
晩
番
悲
備
美
必
表
婦
負
部
福
腹
平
米
変
返
捕
報
放
法
亡
忘
忙
望
末
満
未
民
眠
務
夢
命
迷
鳴
面
役
約
薬
優
由
予
余
与
容
様
葉
要
陽
落
利
流
留
両
良
類
例
冷
礼
列
路
労
老
論
和
